descricao,qtd_duplicatas,codigos_todos,codigo_manter,codigos_eliminar,categoria,valor_total_estoque,preco_medio,estoque_total
Eixo Latão,4,"MAT-01166, MAT-01167, MAT-02341, MAT-02504",MAT-02341,"MAT-01166, MAT-01167, MAT-02504",Mecânico,186479.51,15.135,11478
Interruptor Plástico,4,"MAT-00663, MAT-01177, MAT-02686, MAT-02971",MAT-02971,"MAT-00663, MAT-01177, MAT-02686",Elétrico,182999.61,33.239999999999995,4260
Pasta em Plástico,2,"MAT-00027, MAT-02956",MAT-00027,MAT-02956,Escritório,179933.7,22.575000000000003,5743
Anel Aço,5,"MAT-00509, MAT-00566, MAT-01433, MAT-01482, MAT-02052",MAT-02052,"MAT-00509, MAT-00566, MAT-01433, MAT-01482",Peças,171127.18,13.373999999999999,12905
Vassoura Inox,2,"MAT-01502, MAT-02574",MAT-02574,MAT-01502,Limpeza,168828.64,68.305,2848
Óculos Latão,2,"MAT-01279, MAT-01876",MAT-01876,MAT-01279,EPI,161419.96,22.555,6166
Luva M Inox,2,"MAT-01029, MAT-01078",MAT-01029,MAT-01078,EPI,160954.69,21.965,7231
"Cabo 2,5mm² Plástico",2,"MAT-00745, MAT-02990",MAT-02990,MAT-00745,Elétrico,160889.12,32.36,5652
Cilindro Aço,3,"MAT-01334, MAT-02270, MAT-02974",MAT-01334,"MAT-02270, MAT-02974",Pneumático,157521.61,17.12,8755
Spray Plástico,2,"MAT-01309, MAT-06001",MAT-01309,MAT-06001,Lubrificante,154973.182783796,22.830462991130815,6788
Filtro Aço,4,"MAT-00817, MAT-00866, MAT-02024, MAT-02916",MAT-02916,"MAT-00817, MAT-00866, MAT-02024",Pneumático,143797.0,26.552500000000002,5220
"Tubo 1"" PVC",2,"MAT-01024, MAT-01574",MAT-01024,MAT-01574,Hidráulico,139560.55000000002,75.80000000000001,2645
Serra Aço,4,"MAT-00373, MAT-00879, MAT-02295, MAT-02415",MAT-00373,"MAT-00879, MAT-02295, MAT-02415",Ferramentas,136833.5,15.1075,10499
Parafuso M16 Latão,2,"MAT-02666, MAT-02831",MAT-02666,MAT-02831,Fixação,136461.64,24.150000000000002,6424
Porca M12 Inox,2,"MAT-01154, MAT-02573",MAT-01154,MAT-02573,Fixação,131543.52000000002,21.795,5890
Clipe Cobre,3,"MAT-00370, MAT-02353, MAT-02692",MAT-00370,"MAT-02353, MAT-02692",Acessórios,130874.76,32.74333333333333,3931
"tubo 2"" Cobre",2,"MAT-01896, MAT-02040",MAT-01896,MAT-02040,Hidráulico,128307.01999999999,46.79,4237
Luva XG PVC,3,"MAT-00365, MAT-00832, MAT-01049",MAT-01049,"MAT-00365, MAT-00832",EPI,125850.27,24.80333333333333,7271
Suporte Plástico,5,"MAT-00536, MAT-00952, MAT-01349, MAT-01597, MAT-01759",MAT-01349,"MAT-00536, MAT-00952, MAT-01597, MAT-01759",Acessórios,125014.29000000001,9.91,13111
Base PVC,4,"MAT-00181, MAT-01427, MAT-02074, MAT-02444",MAT-01427,"MAT-00181, MAT-02074, MAT-02444",Químico,124097.20000000001,49.925000000000004,3750
Luva GG Plástico,3,"MAT-01006, MAT-01731, MAT-06001",MAT-01731,"MAT-01006, MAT-06001",EPI,115776.48300891473,10.641060371099833,6773
Anel PVC,5,"MAT-00552, MAT-00710, MAT-01072, MAT-01563, MAT-02607",MAT-01563,"MAT-00552, MAT-00710, MAT-01072, MAT-02607",Peças,115398.22,9.544,13598
Fita PVC,4,"MAT-01139, MAT-02057, MAT-02226, MAT-02506",MAT-02057,"MAT-01139, MAT-02226, MAT-02506",Embalagem,112930.67,10.23,12289
Prego em Aço,2,"MAT-00773, MAT-00836",MAT-00773,MAT-00836,Fixação,106006.1,49.48,2531
Balde Alumínio,4,"MAT-00930, MAT-01812, MAT-02695, MAT-02779",MAT-02695,"MAT-00930, MAT-01812, MAT-02779",Limpeza,103663.40000000001,7.475,14954
Presilha Cobre,3,"MAT-00453, MAT-00468, MAT-02228",MAT-02228,"MAT-00453, MAT-00468",Acessórios,102352.14,36.87,8089
Detergente Inox,5,"MAT-00114, MAT-01639, MAT-02345, MAT-02523, MAT-02604",MAT-02604,"MAT-00114, MAT-01639, MAT-02345, MAT-02523",Limpeza,102307.17,21.95,8692
Martelo Aço,4,"MAT-00274, MAT-00865, MAT-01646, MAT-02754",MAT-00274,"MAT-00865, MAT-01646, MAT-02754",Ferramentas,98158.49,9.6125,14111
Disjuntor PVC,2,"MAT-01328, MAT-01673",MAT-01673,MAT-01328,Elétrico,97595.78000000001,14.920000000000002,4621
Etiqueta Aço,6,"MAT-00187, MAT-00492, MAT-00606, MAT-01106, MAT-01312, MAT-01728",MAT-01106,"MAT-00187, MAT-00492, MAT-00606, MAT-01312, MAT-01728",Embalagem,95426.62999999999,13.395000000000001,10794
Plástico Aço,3,"MAT-00058, MAT-00575, MAT-01364",MAT-00575,"MAT-00058, MAT-01364",Embalagem,93748.29,30.51,6949
Prego Plástico,3,"MAT-00359, MAT-01179, MAT-01548",MAT-00359,"MAT-01179, MAT-01548",Fixação,91833.01000000001,9.47,11113
Engrenagem Inox,5,"MAT-00353, MAT-00496, MAT-01540, MAT-02999, MAT-06001",MAT-00353,"MAT-00496, MAT-01540, MAT-02999, MAT-06001",Mecânico,90279.91031383128,7.532122210903924,11661
Etiqueta Plástico,9,"MAT-00256, MAT-00917, MAT-01141, MAT-01178, MAT-01181, MAT-01355, MAT-02027, MAT-06001, MAT-06001",MAT-01181,"MAT-00256, MAT-00917, MAT-01141, MAT-01178, MAT-01355, MAT-02027, MAT-06001, MAT-06001",Embalagem,85875.75342607399,2.897057037327393,31584
etiqueta Alumínio,3,"MAT-00202, MAT-00265, MAT-01060",MAT-00202,"MAT-00265, MAT-01060",Embalagem,81816.18999999999,29.686666666666667,7166
Fluido Plástico,3,"MAT-00822, MAT-02377, MAT-02824",MAT-00822,"MAT-02377, MAT-02824",Lubrificante,81270.46,13.683333333333335,4126
Bota Plástico,7,"MAT-00158, MAT-01374, MAT-01415, MAT-01419, MAT-02502, MAT-02770, MAT-02922",MAT-00158,"MAT-01374, MAT-01415, MAT-01419, MAT-02502, MAT-02770, MAT-02922",EPI,80641.62000000001,11.212857142857143,8327
Disjuntor Plástico,4,"MAT-00627, MAT-01249, MAT-01496, MAT-01783",MAT-01496,"MAT-00627, MAT-01249, MAT-01783",Elétrico,76720.85,6.1075,12921
Pano Inox,8,"MAT-00374, MAT-00506, MAT-01091, MAT-01345, MAT-01898, MAT-01957, MAT-02176, MAT-06001",MAT-00506,"MAT-00374, MAT-01091, MAT-01345, MAT-01898, MAT-01957, MAT-02176, MAT-06001",Limpeza,74003.89728128155,4.95003930748757,16319
Anel Latão,6,"MAT-00200, MAT-01050, MAT-01825, MAT-02682, MAT-02782, MAT-02938",MAT-02682,"MAT-00200, MAT-01050, MAT-01825, MAT-02782, MAT-02938",Peças,73753.56,5.31,14290
"tubo 3/4"" Plástico",2,"MAT-02102, MAT-06001",MAT-02102,MAT-06001,Hidráulico,71874.93211976587,8.290072908854196,8670
Lâmpada PVC,5,"MAT-00665, MAT-00732, MAT-00903, MAT-02010, MAT-02193",MAT-00732,"MAT-00665, MAT-00903, MAT-02010, MAT-02193",Elétrico,70286.98,5.523999999999999,12553
Fita Cobre,6,"MAT-00048, MAT-00376, MAT-00796, MAT-01550, MAT-01587, MAT-02589",MAT-02589,"MAT-00048, MAT-00376, MAT-00796, MAT-01550, MAT-01587",Embalagem,68974.23999999999,18.799999999999997,10091
Plástico PVC,7,"MAT-00120, MAT-00252, MAT-01142, MAT-01618, MAT-01736, MAT-02499, MAT-06001",MAT-00120,"MAT-00252, MAT-01142, MAT-01618, MAT-01736, MAT-02499, MAT-06001",Embalagem,67928.33736849957,5.04723769353977,13544
Luva P Aço,2,"MAT-01536, MAT-02480",MAT-01536,MAT-02480,EPI,60973.61,12.155,3763
Resistor Inox,4,"MAT-01152, MAT-01303, MAT-01996, MAT-06001",MAT-01303,"MAT-01152, MAT-01996, MAT-06001",Eletrônico,60812.77738627484,6.461257360343893,9146
Graxa Latão,5,"MAT-00752, MAT-01515, MAT-01819, MAT-02299, MAT-06001",MAT-00752,"MAT-01515, MAT-01819, MAT-02299, MAT-06001",Lubrificante,56661.037424115086,5.139902569237279,12547
"Cabo 2,5mm² Latão",2,"MAT-00171, MAT-02569",MAT-02569,MAT-00171,Elétrico,54404.0,9.715,6425
"Tubo 1"" Inox",2,"MAT-01926, MAT-02328",MAT-02328,MAT-01926,Hidráulico,52455.76,7.075,7122
Engrenagem Plástico,4,"MAT-00443, MAT-01517, MAT-01880, MAT-02927",MAT-01880,"MAT-00443, MAT-01517, MAT-02927",Mecânico,50268.03,6.7575,9344
Parafuso M16 Inox,2,"MAT-01771, MAT-02202",MAT-02202,MAT-01771,Fixação,46199.64,7.9350000000000005,5976
Porca M16 Inox,2,"MAT-00653, MAT-02351",MAT-02351,MAT-00653,Fixação,45518.21,32.125,3983
Cilindro Inox,3,"MAT-00614, MAT-01192, MAT-01294",MAT-00614,"MAT-01192, MAT-01294",Pneumático,43223.42,6.1933333333333325,6704
Arruela Cobre,5,"MAT-00880, MAT-01556, MAT-01638, MAT-02069, MAT-02538",MAT-02538,"MAT-00880, MAT-01556, MAT-01638, MAT-02069",Fixação,42041.43,4.26,10393
Prego Inox,4,"MAT-01530, MAT-01582, MAT-02372, MAT-02929",MAT-01582,"MAT-01530, MAT-02372, MAT-02929",Fixação,41984.7,3.3,14105
Registro Alumínio,3,"MAT-00232, MAT-01070, MAT-06001",MAT-00232,"MAT-01070, MAT-06001",Hidráulico,41669.07384226675,5.866570925805244,6454
Reagente Inox,2,"MAT-00433, MAT-01369",MAT-01369,MAT-00433,Químico,40904.100000000006,4.23,8614
Balde Aço,3,"MAT-00070, MAT-00269, MAT-01712",MAT-01712,"MAT-00070, MAT-00269",Limpeza,40575.91,3.4500000000000006,8242
Porca M10 Latão,2,"MAT-01306, MAT-01719",MAT-01719,MAT-01306,Fixação,40298.619999999995,7.345,6308
"Cabo 2,5mm² Inox",2,"MAT-02138, MAT-02514",MAT-02138,MAT-02514,Elétrico,39728.270000000004,7.960000000000001,4655
Graxa PVC,4,"MAT-00702, MAT-02145, MAT-02919, MAT-06001",MAT-02145,"MAT-00702, MAT-02919, MAT-06001",Lubrificante,39623.258041068206,3.451647196525501,12528
"Tubo 3/4"" PVC",2,"MAT-01883, MAT-06001",MAT-01883,MAT-06001,Hidráulico,39593.94867269485,10.110814267797462,3916
Abraçadeira Alumínio,4,"MAT-00411, MAT-01111, MAT-02365, MAT-02749",MAT-01111,"MAT-00411, MAT-02365, MAT-02749",Acessórios,37216.86,3.8225000000000002,9258
Presilha Inox,2,"MAT-00389, MAT-02423",MAT-00389,MAT-02423,Acessórios,36552.259999999995,8.059999999999999,4484
Abraçadeira Cobre,3,"MAT-00264, MAT-00439, MAT-02180",MAT-02180,"MAT-00264, MAT-00439",Acessórios,36016.24,4.973333333333334,5785
Parafuso M10 Aço,2,"MAT-00961, MAT-01653",MAT-01653,MAT-00961,Fixação,33565.24,608.665,931
Capacete Latão,2,"MAT-01758, MAT-06001",MAT-01758,MAT-06001,EPI,32792.90976673949,52.05223772498332,630
Cabo 6mm² Alumínio,2,"MAT-01974, MAT-02963",MAT-02963,MAT-01974,Elétrico,32000.850000000002,4.3,5385
Papel em Alumínio,2,"MAT-02173, MAT-06001",MAT-02173,MAT-06001,Escritório,31071.147834041796,3.6537097641159213,8504
Solvente Aço,6,"MAT-00014, MAT-00233, MAT-00456, MAT-01074, MAT-01441, MAT-02149",MAT-00233,"MAT-00014, MAT-00456, MAT-01074, MAT-01441, MAT-02149",Químico,30717.98,9.14,6467
"Tubo 3/4"" Alumínio",2,"MAT-00643, MAT-02832",MAT-00643,MAT-02832,Hidráulico,29964.09,19.185,2708
Serra Cobre,5,"MAT-00572, MAT-00581, MAT-00798, MAT-02047, MAT-02203",MAT-00798,"MAT-00572, MAT-00581, MAT-02047, MAT-02203",Ferramentas,29723.03,4.958,5219
Desinfetante em Latão,2,"MAT-00240, MAT-06001",MAT-00240,MAT-06001,Limpeza,27269.413274176728,8.489854693081174,3212
Luva XG Cobre,2,"MAT-02597, MAT-06001",MAT-02597,MAT-06001,EPI,26806.338838961543,8.692068365422031,3084
Tomada Aço,3,"MAT-00924, MAT-01632, MAT-01924",MAT-01924,"MAT-00924, MAT-01632",Elétrico,26532.89,4.079999999999999,7180
LED Cobre,2,"MAT-01261, MAT-02376",MAT-02376,MAT-01261,Eletrônico,19078.34,5.3549999999999995,3313
Catalisador Cobre,2,"MAT-01201, MAT-01915",MAT-01915,MAT-01201,Químico,18959.54,4.51,4391
Clips Plástico,2,"MAT-00923, MAT-01608",MAT-00923,MAT-01608,Escritório,18821.53,5.025,4747
Rebite em PVC,2,"MAT-00699, MAT-06001",MAT-00699,MAT-06001,Fixação,16309.526284915937,1.9982266950399334,8162
Luva M Cobre,2,"MAT-01643, MAT-02383",MAT-02383,MAT-01643,EPI,16192.31,4.095,5993
Cabo 16mm² PVC,2,"MAT-01007, MAT-01313",MAT-01313,MAT-01007,Elétrico,14883.54,4.35,3787
"Tubo 3/4"" Cobre",2,"MAT-00449, MAT-00902",MAT-00449,MAT-00902,Hidráulico,12830.22,2.505,4944
Pasta em Aço,2,"MAT-02107, MAT-02184",MAT-02107,MAT-02184,MÚLTIPLAS,10450.44,2.0500000000000003,6846
Módulo Alumínio,2,"MAT-01015, MAT-01216",MAT-01015,MAT-01216,Eletrônico,10003.710000000001,3.295,2684
Cabo 4mm² Plástico,2,"MAT-02856, MAT-06001",MAT-02856,MAT-06001,Elétrico,7595.182275031849,2.885707551303894,2632
Bota Inox,4,"MAT-00839, MAT-01121, MAT-01198, MAT-02276",MAT-01121,"MAT-00839, MAT-01198, MAT-02276",EPI,7511.86,3.4275,7528
Correia Aço,3,"MAT-00780, MAT-00840, MAT-01164",MAT-00840,"MAT-00780, MAT-01164",Mecânico,6730.579999999999,0.75,7056
"Cabo 2,5mm² em Latão",2,"MAT-00896, MAT-06001",MAT-00896,MAT-06001,Elétrico,6448.392491791602,7.261703256522074,888
Capacete em Plástico,2,"MAT-00819, MAT-06001",MAT-00819,MAT-06001,EPI,5928.678660719244,26.467315449639482,224
Registro em Plástico,2,"MAT-02384, MAT-06001",MAT-02384,MAT-06001,Hidráulico,5144.87886311234,3.2603795076757542,1578
Junta PVC,3,"MAT-01396, MAT-01414, MAT-01452",MAT-01452,"MAT-01396, MAT-01414",Peças,4587.360000000001,2.2800000000000002,5269
Parafuso Latão M8,2,"MAT-01013, MAT-06001",MAT-01013,MAT-06001,Fixação,3899.4,3.35,1164
Luva Aço P,2,"MAT-02528, MAT-06001",MAT-02528,MAT-06001,EPI,2231.990399145532,0.32460593355810535,6876
Luva GG Latão,2,"MAT-00929, MAT-02003",MAT-00929,MAT-02003,EPI,2002.0800000000002,1.29,4403
Furadeira Plástico,2,"MAT-00387, MAT-00673",MAT-00387,MAT-00673,Ferramentas,1974.38,43.795,3279
Chave Alumínio,2,"MAT-01581, MAT-02395",MAT-02395,MAT-01581,Ferramentas,1834.25,2.875,947
Arruela em Plástico,2,"MAT-01987, MAT-06001",MAT-01987,MAT-06001,Fixação,96.80119201160225,0.2315817990708188,418
